pwsid,PWS_name,activity_s,owner_type,d_prin_cnt,d_populati,d_pws_fed_,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
CA1010035,DEL REY COMMUNITY SERV DIST,A,L,FRESNO,1500,C,0.465654643,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.1324592,0.284458024
CA1010035,DEL REY COMMUNITY SERV DIST,A,L,FRESNO,1500,C,0.465654643,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.329694257,0.708023128
CA1010006,CITY OF FOWLER,A,L,FRESNO,5801,C,2.623263061,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,2.394808282,0.912911983
CA1010019,"KINGSBURG, CITY OF",A,L,FRESNO,11504,C,2.86066861,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,2.805959101,0.980875272
CA1090005,DEL REY CSD WASTEWATER TREATMENT PLANT,A, ,FRESNO,0,NP,0.133938598,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.1324592,0.988954653
CA1010025,CITY OF PARLIER,A,L,FRESNO,15250,C,2.142998081,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,2.120913414,0.9896945
CA1010029,CITY OF SANGER,A,L,FRESNO,25664,C,5.699046582,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,5.693172152,0.998969226
CA1000381,SUN MAID GROWERS OF CALIFORNIA,A,P,FRESNO,750,NTNC,0.13622573,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.136199038,0.999804057
CA1000383,GUARDIAN INDUSTRIES LLC,A,P,FRESNO,291,NTNC,0.022032148,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.022032148,1
CA1000454,VIKING RV PARK,A,P,FRESNO,104,NC,0.005541642,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.005541642,1
CA1010044,"HURON, CITY OF",A,L,FRESNO,7306,C,1.625942884,22,5-022,5-022.09,SAN JOAQUIN VALLEY,County of Fresno GSA - Westside,15.8998263,0.915307084,0.56293926
CA1000445,LINDA VISTA FARMS,A,P,FRESNO,63,C,0.028197756,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.002873925,0.101920359
CA1010044,"HURON, CITY OF",A,L,FRESNO,7306,C,1.625942884,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.710635818,0.437060751
CA1009179,BRITZ/FIVE POINT SYSTEM,A,P,FRESNO,76,C,0.10653506,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.091067598,0.85481341
CA1610700,LEMOORE NAVAL AIR STATION,A,F,KINGS,12000,C,28.51022042,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,28.4804225,0.998954834
CA1000564,WONDERFUL PISTACHIOS & ALMONDS-EL DORADO,A,P,FRESNO,25,NTNC,0.501970693,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.501675221,0.999411375
CA1000588,PANOCHE RANCH - FRANK LOGOLUSO FARMS,A,P,FRESNO,300,NC,0.482085946,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.482085946,1
CA1009214,WESTSIDE HARVESTING,A,P,FRESNO,25,C,0.081909193,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.081909193,1
CA1009035,PILIBOS BROTHERS RANCH,I,P,FRESNO,25,NP,0.05109036,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.05109036,1
CA1000607,BLACKBURN FAMILY IRREVOCABLE TRUST,A,P,FRESNO,83,NTNC,0.088281523,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.088281523,1
CA1000360,COTTON WEST AG MANAGEMENT,A,P,FRESNO,25,NTNC,0.107102994,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.107102994,1
CA1009020,FIVE POINTS RANCH,A,P,FRESNO,100,C,0.044686143,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.044686143,1
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",A,P,FRESNO,50,C,0.031305068,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.031305068,1
CA1000178,I-5 AND HWY 198 REST AREA,A,P,FRESNO,225,NTNC,0.099081676,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.099081676,1
CA1009023,BRITZ/COLUSA,A,P,FRESNO,85,C,0.101435552,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.101435552,1
CA1009131,COIT RANCH CORPORATION,I,P,FRESNO,25,NP,0.08355271,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.08355271,1
CA1000490,LOS GATOS TOMATO PRODUCTS,A,P,FRESNO,200,NTNC,0.086053934,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.086053934,1
CA1009028,HARRIS FARMS SOUTH #101-144,A,P,FRESNO,160,C,0.016930529,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.016930529,1
CA1000361,WESTLANDS WATER DISTRICT,A,L,FRESNO,48,NTNC,0.035031289,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.035031289,1
CA1009147,FARMING D,A,P,FRESNO,110,C,0.058245074,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.058245074,1
CA1600023,AZCAL MANAGEMENT CO,A,P,KINGS,73,C,0.034493211,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.034493211,1
CA1000213,HARRIS FARMS/HORSE BARN,A,P,FRESNO,100,C,0.09094123,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.09094123,1
CA1000439,SOMMERVILLE ALMOND TREE OWNERS ASSN,A,P,FRESNO,500,NC,0.007585919,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.007585919,1
CA1600007,COUTURE FARMS,A,P,KINGS,17,NP,0.293197225,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.293197225,1
CA1000546,FCSA #49/ FIVE POINTS,A,L,FRESNO,134,C,0.147872934,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.147872934,1
CA1000214,HARRIS RANCH RESTAURANT,A,P,FRESNO,1750,NTNC,0.155864448,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.155864448,1
CA1009027,HARRIS FARMS HEADQUARTERS,A,P,FRESNO,300,C,0.0695175,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.0695175,1
CA1009078,HARRIS FEEDING COMPANY,A,P,FRESNO,225,C,0.111511261,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.111511261,1
CA1000359,FCSA #32/CANTUA CREEK,A,L,FRESNO,255,C,0.059958383,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.059958383,1
CA1009232,SUMNER PECK RANCH,A,P,FRESNO,85,C,0.09764234,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.09764234,1
CA1000585,MURRIETA/HERNANDEZ FARMS,A,P,FRESNO,25,C,0.029680763,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.029680763,1
CA1000175,CASACA VINEYARDS,A,P,FRESNO,40,NTNC,0.052969541,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.052969541,1
CA1009222,TERRA LINDA FARMS,A,P,FRESNO,40,C,0.02529888,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.02529888,1
CA1009258,SAN ANDREAS FARMS,A,P,FRESNO,25,C,0.969679944,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.969679944,1
CA1000019,FCSA #30/EL PORVENIR,A,L,FRESNO,185,C,0.072284408,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.072284408,1
CA5410006,"LINDSAY, CITY OF",A,L,TULARE,14415,C,2.712144571,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,2.666425271,0.983142749
CA5400647,YOKOHL MUTUAL WATER CO,A,P,TULARE,95,C,0.033509878,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.033445017,0.998064421
CA5410012,STRATHMORE PUBLIC UTIL DIST,A,L,TULARE,2150,C,0.582893718,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.582893718,1
CA5410036,LSID-STRATHMORE SYSTEM,A,L,TULARE,500,C,0.242586685,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.242586685,1
CA5400567,TOOLEVILLE MUTUAL NON PROFIT WATER ASSOC,A,P,TULARE,340,C,0.029460252,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.029460252,1
CA5400682,PLAINVIEW MWC - CENTRAL WATER,A,P,TULARE,138,C,0.017683904,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.017683904,1
CA5410039,PLAINVIEW MUTUAL WATER COMPANY,A,P,TULARE,617,C,0.062750419,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.062750419,1
CA5410007,LSID - TONYVILLE,A,L,TULARE,500,C,0.029561809,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.029561809,1
CA5400631,LINNELL FARM LABOR CENTER,A,P,TULARE,769,C,0.111999116,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.108878246,0.972134874
CA5410020,"WOODLAKE, CITY OF",A,L,TULARE,7950,C,2.712310455,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.667717094,0.983558902
CA5400519,PALO VERDE SCHOOL,A,L,TULARE,500,NTNC,0.018390107,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.018135546,0.98615768
CA5410003,"EXETER, CITY OF",A,L,TULARE,10548,C,2.279685579,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.275557652,0.998189256
CA5410019,IVANHOE PUBLIC UTILITY DIST,A,L,TULARE,4495,C,0.978724788,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.977590069,0.998840615
CA5400616,LEMON COVE WATER CO,A,L,TULARE,109,C,0.037563227,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.037563227,1
CA5410041,CWS - TULCO WATER COMPANY,A,P,TULARE,716,C,0.074097806,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.074097806,1
CA5410004,"FARMERSVILLE, CITY OF",A,L,TULARE,11443,C,2.118701816,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.118701816,1
CA5400881,SUNRISE MUTUAL WATER CO.,A,P,TULARE,80,C,0.029685769,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.029685769,1
CA5400819,MOUNTAIN VIEW MHP,A,P,TULARE,44,C,0.001852261,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.001852261,1
CA5402038,PATTERSON TRACT CSD,A,P,TULARE,550,C,0.121753073,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.121753073,1
CA5400903,TRACT 92  CSD,A,P,TULARE,500,C,0.114650187,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.114650187,1
CA5403144,ALI MUTUAL WATER CO,A,P,TULARE,39,C,0.010590938,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.010590938,1
CA5400709,SEQUOIA UNION ELEMENTARY SCHOOL,A,L,TULARE,400,NTNC,0.024029934,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.024029934,1
CA5402040,EAST UNION SCHOOL,I,L,TULARE,0,NP,0.00312087,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.00312087,1
CA5410015,"TULARE, CITY OF",A,L,TULARE,65982,C,17.84359126,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,17.80814986,0.998013775
CA5410016,CWS - VISALIA,A,P,TULARE,139924,C,34.6105299,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,34.58049778,0.999132284
CA5400805,SOULTS MUTUAL WATER CO,A,P,TULARE,120,C,0.026887588,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.026887588,1
CA5400538,ACCELERATED CHARTER HIGH SCHOOL,A,L,TULARE,170,NTNC,0.007915871,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.007915871,1
CA5400880,THE LAKES ASSOCIATION,A,P,TULARE,495,C,0.113401092,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.113401092,1
CA5400966,WESTLAKE VILLAGE MHP,I,P,TULARE,350,NP,0.040494041,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.040494041,1
CA5400919,BUENA VISTA SCHOOL,A,L,TULARE,250,NTNC,0.016713944,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.016713944,1
CA5400816,BEDEL MUTUAL WATER CO,A,P,TULARE,155,C,0.060733818,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.060733818,1
CA5400795,WAUKENA ELEMENTARY SCHOOL,A,L,TULARE,245,NTNC,0.023607816,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.023607816,1
CA5403074,KRAFT HEINZ FOODS COMPANY,A,P,TULARE,235,NTNC,0.028030629,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.028030629,1
CA1610004,"CORCORAN, CITY OF",A,L,KINGS,21835,C,4.937683354,69,5-022,5-022.12,SAN JOAQUIN VALLEY,El Rico GSA,357.4651309,4.937683354,1
CA1610003,"HANFORD, CITY OF",A,L,KINGS,62127,C,11.91340406,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,10.83067424,0.909116672
CA1610001,ARMONA COMMUNITY SERVICES DIST,A,L,KINGS,4143,C,1.904224486,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,1.904224486,1
CA1600293,CHAMPIONS- SAMUEL'S HOUSE,A,P,KINGS,50,C,0.004856178,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,0.004856178,1
CA1600507,HARDWICK WATER COMPANY,A,P,KINGS,40,C,0.033919824,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,0.033919824,1
CA1610007,HOME GARDEN CSD,A,L,KINGS,1750,C,0.414064576,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,0.414064576,1
CA1610005,"LEMOORE, CITY OF",A,L,KINGS,26093,C,8.464650691,71,5-022,5-022.12,SAN JOAQUIN VALLEY,South Fork Kings GSA,111.4220526,8.464650691,1
CA1610006,STRATFORD PUD,A,L,KINGS,1301,C,0.535689246,71,5-022,5-022.12,SAN JOAQUIN VALLEY,South Fork Kings GSA,111.4220526,0.535689246,1
CA1600008,CENTRAL UNION ELEMENTARY,A,L,KINGS,320,NTNC,0.023674842,71,5-022,5-022.12,SAN JOAQUIN VALLEY,South Fork Kings GSA,111.4220526,0.023674842,1
CA1610009,KETTLEMAN CITY CSD,A,L,KINGS,1450,C,1.008153223,72,5-022,5-022.12,SAN JOAQUIN VALLEY,Southwest Kings GSA,140.4183009,0.736802632,0.730843898
CA1600048,KETTLEMAN CITY ELEMENTARY,I,L,KINGS,350,NTNC,0.016054258,72,5-022,5-022.12,SAN JOAQUIN VALLEY,Southwest Kings GSA,140.4183009,0.016054258,1
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,A,L,TULARE,1026,C,0.245674696,97,5-022,5-022.13,SAN JOAQUIN VALLEY,Alpaugh GSA,22.66085546,0.245674696,1
CA5410024,RICHGROVE COMMUNITY SERVICES DISTRICT,A,L,TULARE,1617,C,0.565358561,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.513538952,0.908342047
CA5410021,EARLIMART PUD,A,L,TULARE,8800,C,1.519225687,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,1.516596684,0.998269512
CA5400964,SIERRA VISTA ASSN,A,P,TULARE,44,C,0.007158549,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.007158549,1
CA5403022,APTCO LLC,A,P,TULARE,150,NTNC,0.062567325,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.062567325,1
CA5400735,RODRIGUEZ LABOR CAMP,A,P,TULARE,110,C,0.019860628,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.019860628,1
CA1502066,DELANO GROWERS GRAPE PRODUCTS,A,P,KERN,41,NTNC,0.08012856,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.08012856,1
CA5410010,"PORTERVILLE, CITY OF",A,L,TULARE,65702,C,14.23162376,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,13.87474544,0.97492357
CA5410038,TERRA BELLA IRRIGATION DISTRICT - TBT,A,L,TULARE,4957,C,21.68778417,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,21.55491545,0.993873568
CA5400655,CENTRAL MUTUAL WATER CO,A,P,TULARE,119,C,0.03033669,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.030321914,0.999512925
CA5400529,SHADY GROVE  MHP,A,P,TULARE,95,C,0.005073115,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.00507309,0.999994989
CA5400769,FOOTHILL APARTMENTS,A,P,TULARE,41,C,0.00228641,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.00228641,1
CA5400604,MOUNTAIN VIEW DUPLEXES,A,P,TULARE,103,C,0.010370955,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.010370955,1
CA5400527,SHILOH WATER CO.,I,P,TULARE,75,NP,0.002954963,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.002954963,1
CA5400651,BEVERLY GRAND MUTUAL WATER,A,P,TULARE,92,C,0.012316431,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.012316431,1
CA5400600,GOLDEN KEY APARTMENTS,I,M,TULARE,48,NP,0.001731303,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.001731303,1
CA5400542,DUCOR CSD,A,P,TULARE,535,C,0.411814292,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.411814292,1
CA5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,A,P,TULARE,327,C,0.040160556,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.040160556,1
CA5400504,A AND A  MOBILE HOME PARK,A,P,TULARE,154,C,0.006518115,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.006518115,1
CA5410048,PORTERVILLE-JONES CORNER,A,L,TULARE,339,C,0.056621421,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.056621421,1
CA5401038,AKIN WATER CO,A,P,TULARE,86,C,0.012705507,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.012705507,1
CA5400580,ALTA VISTA M H P,A,M,TULARE,23,NP,0.001660477,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.001660477,1
CA5400935,CWS - MULLEN WATER COMPANY,A,P,TULARE,138,C,0.055159242,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.055159242,1
CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,A,S,TULARE,1500,C,0.427832704,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.427832704,1
CA5400602,EAGLE'S NEST RESORT,A,P,TULARE,278,C,0.006930014,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.006930014,1
CA5400767,DEL ORO EAST PLANO DISTRICT,A,P,TULARE,46,C,0.006505799,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.006505799,1
CA5400875,VILLAGE APARTMENTS,A,P,TULARE,25,C,0.007737662,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.007737662,1
CA5401006,UC DAVIS-SCHOOL OF VET. MED.,A,L,TULARE,76,NTNC,0.095197885,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,0.079635188,0.836522654
CA5410026,POPLAR COMM SERVICE DIST,A,L,TULARE,2200,C,0.644715428,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,0.603185706,0.935584413
CA5410025,WOODVILLE PUBLIC UTILITY DIST,A,L,TULARE,1673,C,0.525444188,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,0.525444188,1
CA5400792,WOODVILLE FARM LABOR CENTER,A,P,TULARE,688,C,0.144242879,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,0.144242879,1
CA5403042,CALIFORNIA DAIRIES INC TIPTON,A,P,TULARE,130,NTNC,0.021800998,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,0.021800998,1
CA5410014,TIPTON COMMUNITY SERVICES DIST,A,L,TULARE,2543,C,1.067760876,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,1.067760876,1
CA5400718,WILLIAMS MUTUAL  WATER CO,A,P,TULARE,180,C,0.075791131,99,5-022,5-022.13,SAN JOAQUIN VALLEY,Lower Tule River Irrigation District GSA,163.9192866,0.075791131,1
CA5403132,CALGREN RENEWABLE FUELS,A,P,TULARE,52,NTNC,0.055329129,100,5-022,5-022.13,SAN JOAQUIN VALLEY,Pixley Irrigation District GSA,109.1976165,0.055329129,1
CA5400641,TEVISTON CSD,A,L,TULARE,343,C,0.299208989,100,5-022,5-022.13,SAN JOAQUIN VALLEY,Pixley Irrigation District GSA,109.1976165,0.299208989,1
CA5410009,PIXLEY PUBLIC UTIL DIST,A,L,TULARE,2709,C,1.42273399,100,5-022,5-022.13,SAN JOAQUIN VALLEY,Pixley Irrigation District GSA,109.1976165,1.42273399,1
CA5400544,ALLENSWORTH CSD,A,L,TULARE,521,C,1.22358684,102,5-022,5-022.13,SAN JOAQUIN VALLEY,Tri-County Water Authority GSA - Tule,94.96881986,1.22358684,1
CA1510011,BUTTONWILLOW CWD,A,L,KERN,1508,C,0.372687443,86,5-022,5-022.14,SAN JOAQUIN VALLEY,Buena Vista Water Storage District GSA,79.76881109,0.359922557,0.965749085
CA1500152,MIRASOL COMPANY WATER SYSTEM,A,P,KERN,26,C,0.018094198,86,5-022,5-022.14,SAN JOAQUIN VALLEY,Buena Vista Water Storage District GSA,79.76881109,0.018094198,1
CA1510015,OILDALE MWC,A,P,KERN,34133,C,16.95136448,90,5-022,5-022.14,SAN JOAQUIN VALLEY,Cawelo Water District GSA,98.33488023,2.541370724,0.149921307
CA1502323,NORTH KERN GOLF COURSE,A,P,KERN,273,NC,0.272251106,90,5-022,5-022.14,SAN JOAQUIN VALLEY,Cawelo Water District GSA,98.33488023,0.266705148,0.979629255
CA1502320,LERDO SHERIFF S FACILITY,A,M,KERN,2800,C,0.339598896,90,5-022,5-022.14,SAN JOAQUIN VALLEY,Cawelo Water District GSA,98.33488023,0.33372469,0.982702516
CA1510013,"MCFARLAND, CITY OF",A,L,KERN,15105,C,2.118924641,83,5-022,5-022.14,SAN JOAQUIN VALLEY,City of McFarland GSA,2.666456536,2.07987512,0.981571067
CA1510024,GREENFIELD COUNTY WD,A,L,KERN,10131,C,2.862071301,87,5-022,5-022.14,SAN JOAQUIN VALLEY,Greenfield County Water District GSA,3.440350644,2.828124656,0.988139134
CA1510015,OILDALE MWC,A,P,KERN,34133,C,16.95136448,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,4.030367961,0.237760681
CA1500599,CHOCTAW VALLEY MUTUAL WATER CO.,A,P,KERN,44,C,0.11371614,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,0.037723394,0.331732981
CA1503349,"WM. BOLTHOUSE FARMS, INC.",A,P,KERN,2437,NTNC,0.303280354,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,0.124965673,0.412046713
CA1510012,LAMONT PUBLIC UTILITY DIST,A,L,KERN,19057,C,3.651195907,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,1.586626261,0.434549748
CA1500557,STOCKDALE RANCHOS MUTUAL WATER CO,A,P,KERN,393,C,0.151967033,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,0.102406222,0.673871298
CA1510029,VAUGHN WC INC,A,P,KERN,32330,C,29.9407322,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,23.25584469,0.776729324
